Nguyễn Trí Thanh,,,,,,,,,,,,,,,
Instance,,Weight,,,,,,,,,,Min,Max,Avg,Pareto,Hypervolume
,"(0.0,1.0)","(0.1, 0.9)","(0.2,0.8)","(0.3,0.7)","(0.4,0.6)","(0.5,0.5)","(0.6,0.4)","(0.7,0.3)","(0.8,0.2)","(0.9,0.1)","(1.0,0.0)",,,,
20.10.1,"(3420.00, 18345.24)","(3420.00, 18345.24)","(3420.00, 18345.24)","(3526.20, 18242.64)","(3526.20, 18242.64)","(3682.08, 18266.76)","(3682.08, 18266.76)","(3682.08, 18266.76)","(3682.08, 18266.76)","(3491.64, 18478.08)","(3491.64, 18581.76)",4990.28,16852.72,10948.20,"(3420.00, 18345.24) | (3526.20, 18242.64) | (3682.08, 18266.76) | (3491.64, 18478.08) | (3491.64, 18581.76)",859.14
20.10.3,"(3619.08, 15071.04)","(3619.08, 15071.04)","(3619.08, 15071.04)","(3939.48, 16557.12)","(3909.60, 14872.32)","(3652.92, 16982.28)","(3909.60, 16465.32)","(3909.60, 16465.32)","(3909.60, 16465.32)","(3909.60, 16465.32)","(3909.60, 16465.32)",5165.17,13925.84,9830.81,"(3619.08, 15071.04) | (3939.48, 16557.12) | (3909.60, 14872.32) | (3652.92, 16982.28) | (3909.60, 16465.32)",862.31
20.20.2,"(13121.28, 67039.56)","(13121.28, 67039.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)","(12107.88, 65293.56)",17426.45,61647.73,38886.58,"(13121.28, 67039.56) | (12107.88, 65293.56)",543.30
20.20.3,"(12456.00, 94374.72)","(12376.44, 97946.64)","(12376.44, 97946.64)","(12557.88, 99622.80)","(12981.96, 100947.60)","(12981.96, 100947.60)","(12981.96, 100947.60)","(12496.68, 102018.96)","(12621.96, 101171.88)","(10934.28, 93430.08)","(12156.48, 99239.40)",19183.86,89389.62,55943.23,"(12456.00, 94374.72) | (12376.44, 97946.64) | (12557.88, 99622.80) | (12981.96, 100947.60) | (12496.68, 102018.96) | (12621.96, 101171.88) | (10934.28, 93430.08) | (12156.48, 99239.40)",515.57
50.10.1,"(6921.72, 69766.56)","(5448.60, 67898.88)","(5801.40, 62089.20)","(6411.96, 64935.72)","(6411.96, 61907.76)","(6411.96, 62021.88)","(6411.96, 60524.28)","(6411.96, 60527.16)","(6411.96, 61387.20)","(6411.96, 61387.20)","(6411.96, 61387.20)",11909.48,61653.85,34867.82,"(6921.72, 69766.56) | (5448.60, 67898.88) | (5801.40, 62089.20) | (6411.96, 64935.72) | (6411.96, 61907.76) | (6411.96, 62021.88) | (6411.96, 60524.28) | (6411.96, 60527.16) | (6411.96, 61387.20)",705.70
50.10.2,"(8675.64, 137330.64)","(8674.20, 145276.20)","(8835.84, 149524.56)","(7866.00, 144217.08)","(8650.08, 146240.28)","(7920.00, 147177.00)","(10009.08, 137253.24)","(10009.08, 137253.24)","(8722.08, 137127.96)","(10442.88, 143263.44)","(8309.52, 133812.00)",23724.94,131616.00,76920.50,"(8675.64, 137330.64) | (8674.20, 145276.20) | (8835.84, 149524.56) | (7866.00, 144217.08) | (8650.08, 146240.28) | (7920.00, 147177.00) | (10009.08, 137253.24) | (8722.08, 137127.96) | (10442.88, 143263.44) | (8309.52, 133812.00)",490.66
50.10.3,"(11270.88, 108450.36)","(11270.88, 108450.00)","(11081.16, 107683.92)","(8015.40, 115203.96)","(7806.24, 113633.28)","(8487.72, 109045.08)","(8831.52, 111694.68)","(7704.00, 116221.68)","(7574.40, 110262.24)","(8666.28, 120326.04)","(8676.36, 118258.20)",19832.26,98732.09,59821.34,"(11270.88, 108450.36) | (11270.88, 108450.00) | (11081.16, 107683.92) | (8015.40, 115203.96) | (7806.24, 113633.28) | (8487.72, 109045.08) | (8831.52, 111694.68) | (7704.00, 116221.68) | (7574.40, 110262.24) | (8666.28, 120326.04) | (8676.36, 118258.20)",552.96
50.10.4,"(12320.28, 84644.28)","(6791.40, 78428.52)","(6791.04, 71983.08)","(6856.20, 78375.24)","(7441.56, 77836.32)","(7506.36, 85530.96)","(8013.96, 84817.80)","(7441.56, 80833.32)","(8151.12, 86148.00)","(7425.72, 77484.60)","(7425.72, 77484.60)",14431.61,71264.81,43300.31,"(12320.28, 84644.28) | (6791.40, 78428.52) | (6791.04, 71983.08) | (6856.20, 78375.24) | (7441.56, 77836.32) | (7506.36, 85530.96) | (8013.96, 84817.80) | (7441.56, 80833.32) | (8151.12, 86148.00) | (7425.72, 77484.60)",649.13
