iter,instance,loss,pg,v,ent,adv,kl,clip,ex_var
50,20.10.1.txt,0.247217,0.205395,0.318008,2.712921,-0.524896,1.805528,1.000000,0.022544
100,20.10.1.txt,0.316962,0.221566,0.453249,2.081001,-0.308538,1.297125,1.000000,0.014493
150,20.10.1.txt,0.166665,0.164392,0.133100,1.956229,0.178394,1.068932,1.000000,0.093521
200,20.10.1.txt,0.122394,0.156117,0.010751,1.944645,0.018350,1.138157,1.000000,0.309431
250,20.10.1.txt,0.171510,0.157006,0.166744,1.894364,0.134874,1.137931,1.000000,0.477799
300,20.10.3.txt,0.082439,0.103082,0.044244,1.833319,-0.158858,1.509180,0.807692,0.812189
350,20.10.3.txt,0.099581,0.130201,0.002639,1.721148,-0.017378,1.263095,0.714286,0.793978
400,20.10.3.txt,-0.008915,0.003369,0.036339,1.288042,0.051977,0.850674,0.629630,0.881841
450,20.10.3.txt,0.149727,0.165377,0.022908,1.268885,0.089056,0.624084,0.892857,0.819921
500,20.10.3.txt,0.135809,0.153642,0.001600,1.046466,0.040978,0.696656,0.857143,0.858297
550,20.20.3.txt,0.246017,0.178740,0.307570,1.448888,-0.202847,0.590295,1.000000,0.873505
600,20.20.3.txt,0.143483,0.148088,0.048574,1.128068,0.145912,0.624087,0.739130,0.963503
650,20.20.3.txt,0.086677,0.101376,0.026826,1.358049,-0.098040,0.670479,0.772727,0.922691
700,20.20.3.txt,0.113772,0.114188,0.054200,1.010634,0.086591,0.523034,0.681818,0.969287
750,20.20.3.txt,0.075595,0.073827,0.061314,1.023147,0.159694,0.538186,0.681818,0.955852
800,20.20.2.txt,0.010904,0.018550,0.020325,0.858989,-0.082029,0.297118,0.666667,0.832308
850,20.20.2.txt,0.077831,0.066587,0.075843,0.730716,-0.185618,0.293659,0.583333,0.950961
900,20.20.2.txt,-0.007385,-0.017027,0.066257,0.660333,-0.086500,0.202660,0.458333,0.932324
950,20.20.2.txt,-0.003075,0.002595,0.022979,0.823860,-0.115599,0.260190,0.500000,0.895553
1000,20.20.2.txt,0.054119,0.047806,0.051405,0.607242,0.103124,0.370353,0.458333,0.965977
1050,50.10.1.txt,0.105080,0.119942,0.012248,1.256684,-0.040095,0.714466,0.761905,-1.108736
1100,50.10.1.txt,0.069143,0.082302,0.003401,0.977855,0.002679,0.531316,0.666667,0.784599
1150,50.10.1.txt,0.060823,0.044118,0.096657,0.862542,-0.022985,0.370900,0.619048,0.890783
