w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,3.4223,23.5123,26.9346,best_f2_50.10.2,Source 2
0.1,0.9,1.8865,21.7857,23.6723,best_f2_50.10.2,Source 2
0.2,0.8,1.8864,19.9953,21.8817,best_mean_50.10.2,Source 2
0.3,0.7,1.9045,21.7709,23.6754,best_sum_50.10.4,Source 2
0.4,0.6,2.0671,21.6212,23.6883,best_f2_50.10.4,Source 2
0.5,0.5,2.0851,23.7586,25.8437,last_checkpoint,Source 2
0.6,0.4,2.2261,23.5605,25.7866,best_sum_50.10.3,Source 2
0.7,0.3,2.0671,22.4537,24.5208,best_f2_50.10.4,Source 2
0.8,0.2,2.2642,23.93,26.1942,best_f1_50.10.4,Source 1
0.9,0.1,2.0627,21.5235,23.5862,best_mean_50.10.2,Source 2
1.0,0.0,2.0627,21.5235,23.5862,best_mean_50.10.2,Source 2
