w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,3420.0,18345.24,21765.24,best_f1_20.10.1,Source 1
0.1,0.9,3420.0,18345.24,21765.24,best_f1_20.10.1,Source 1
0.2,0.8,3420.0,18345.24,21765.24,best_f1_20.10.1,Source 1
0.3,0.7,3526.2,18242.64,21768.84,best_sum_50.10.4,Source 2
0.4,0.6,3526.2,18242.64,21768.84,best_sum_50.10.4,Source 2
0.5,0.5,3682.08,18266.76,21948.48,best_f1_20.10.1,Source 1
0.6,0.4,3682.08,18266.76,21948.48,best_f1_20.10.1,Source 1
0.7,0.3,3682.08,18266.76,21948.48,best_f1_20.10.1,Source 1
0.8,0.2,3682.08,18266.76,21948.48,best_f1_20.10.1,Source 1
0.9,0.1,3491.64,18478.08,21969.72,best_mean_50.10.3,Source 1
1.0,0.0,3491.64,18581.76,22073.04,best_mean_50.10.3,Source 1
